,anchor,positive,negative
475,479,20,1
476,480,4638,4
477,481,7114,1
478,482,8016,2
479,483,896,1
480,484,3674,5
481,485,380,17
482,486,840,8
483,487,3497,2
484,488,892,5
485,489,2375,2
486,490,8369,3
487,491,1271,1
488,492,4898,6
489,493,4262,1
490,494,95,4
491,495,436,1
492,496,909,8
493,497,2426,9
494,498,6841,1
495,499,64,6
496,500,274,10
497,501,2112,2
498,502,39,12
499,503,5968,1
500,504,26819,1
501,505,1707,2
502,506,29,9
503,507,4620,3
504,508,171,1
505,509,52,2
506,510,359,2
507,511,2410,1
508,512,6250,1
509,513,958,8
510,514,8946,6
511,515,8833,1
512,516,4523,6
513,517,5388,3
514,518,2259,6
515,519,2985,7
516,520,63,6
517,521,707,3
518,522,7235,2
519,523,91548,2
520,524,6887,3
521,525,1038,1
522,526,347,2
523,527,3003,3
524,528,569,6
525,529,3178,1
526,530,4,1
527,531,1654,5
528,532,118082,8
529,533,7373,4
530,534,2297,1
531,535,2443,3
532,536,24,1
533,537,2894,2
534,538,334,1
535,539,1353,8
536,540,103449,3
537,541,172,3
538,542,5969,8
539,543,1468,8
540,544,20,1
541,545,764,2
542,546,157865,14
543,547,5728,3
544,548,20,1
545,549,4479,1
546,550,48744,2
547,551,60365,3
548,552,2006,14
549,553,3508,2
550,554,463,3
551,555,288,3
552,556,6965,1
553,558,26340,7
554,559,3127,8
555,560,4,1
556,561,293,1
557,562,1699,8
558,563,191,2
559,564,360,13
560,565,253,2
561,566,70687,8
562,567,617,6
563,568,1542,8
564,569,3361,9
565,570,3817,8
566,571,4280,5
567,572,4,3
568,573,92643,6
569,574,639,8
570,575,250,9
571,576,1,6
572,577,1015,3
573,579,6,2
574,580,4073,5
575,581,141,3
576,582,1277,8
577,583,1279,2
578,584,4,1
579,585,355,2
580,586,317,6
581,587,70769,9
582,588,2081,6
583,589,1240,2
584,590,8481,3
585,591,20,3
586,592,1377,2
587,593,22,2
588,594,596,3
589,595,1022,5
590,596,594,5
591,597,339,6
592,598,1871,6
593,599,1201,5
594,600,1539,2
595,601,819,1
596,602,1865,3
597,603,840,6
598,604,37,2
599,605,55267,2
600,606,410,6
601,607,4,1
602,608,61323,9
603,609,63540,4
604,610,69746,3
605,611,3664,4
606,612,1473,8
607,613,1873,5
608,614,5416,1
609,615,3817,2
610,616,1029,4
611,617,82,6
612,618,7578,8
613,619,528,6
614,620,4,2
615,621,1660,2
616,623,3,1
617,624,3761,2
618,625,4,2
619,626,776,2
620,627,640,1
621,628,4332,1
622,629,4,1
623,630,27309,5
624,631,2092,6
625,632,7480,2
626,633,447,6
627,634,3239,6
628,635,358,6
629,636,4,1
630,637,160710,8
631,638,1680,1
632,639,987,8
633,640,5593,5
634,641,5419,9
635,642,4,2
636,643,1,8
637,644,1,2
638,645,4151,2
639,647,56511,1
640,648,90738,5
641,649,84,6
642,650,17,3
643,651,3497,6
644,652,72380,1
645,653,38294,4
646,654,4,1
647,655,1,8
648,656,414,8
649,657,4,8
650,658,5868,1
651,659,2467,2
652,660,72330,5
653,661,2138,4
654,662,2026,2
655,663,102,8
656,664,84957,6
657,665,5060,8
658,666,630,2
659,667,3444,1
660,668,2068,3
661,670,7234,2
662,671,56251,2
663,672,4,3
664,673,115949,6
665,674,3070,9
666,675,20,3
667,676,1255,2
668,678,55207,2
669,679,763,3
670,680,113741,1
671,681,3966,2
672,682,43391,5
673,683,37,2
674,684,4,3
675,685,1535,3
676,687,4535,5
677,688,4232,16
678,690,33903,5
679,691,252,8
680,692,6574,3
681,693,4,1
682,694,20,2
683,695,65731,3
684,696,427,1
685,697,712,2
686,698,630,3
687,699,4,2
688,700,39,6
689,701,1575,2
690,702,823,3
691,703,83,1
692,704,82765,4
693,705,5584,8
694,706,409,1
695,707,521,3
696,708,2724,8
697,709,3034,6
698,710,6425,8
699,711,169,5
700,712,459,2
701,713,469,1
702,714,7068,1
703,715,1656,5
704,716,4218,3
705,717,1844,8
706,718,2173,8
707,719,637,2
708,720,1148,9
709,721,4,2
710,722,206,2
711,723,4,2
712,724,43906,3
713,725,7315,8
714,726,36,3
715,727,37,2
716,728,6545,9
717,729,3202,1
718,730,148,2
719,731,3056,1
720,732,3782,1
721,733,1370,4
722,734,6265,8
723,735,1241,1
724,736,8361,12
725,737,4985,2
726,738,4,3
727,739,1,6
728,741,27728,3
729,742,350,2
730,743,1517,8
731,744,4,2
732,745,1148,9
733,746,5017,3
734,747,65,8
735,748,54771,1
736,749,4,2
737,750,157,8
738,751,30745,6
739,752,34767,8
740,753,76680,8
741,754,172585,5
742,755,8,5
743,756,2776,4
744,757,37287,3
745,758,4,1
746,759,8931,4
747,760,3339,3
748,761,1591,3
749,762,659,2
750,763,679,8
751,764,25,5
752,765,75,6
753,766,247,3
754,767,58,8
755,768,4,1
756,769,682,2
757,770,4,2
758,771,583,8
759,772,1,6
760,773,4,1
761,774,4,2
762,775,6629,4
763,776,4242,2
764,777,41,3
765,778,6223,2
766,779,1767,1
767,780,34048,4
768,781,696,2
769,782,8864,2
770,783,1907,9
771,784,1689,8
772,785,231,2
773,786,1385,2
774,787,1145,2
775,788,1468,8
776,789,2234,1
777,790,4926,1
778,791,77,2
779,792,404,4
780,793,87304,3
781,794,3903,8
782,795,359,1
783,796,4,2
784,797,559,6
785,798,8361,5
786,799,6958,9
787,800,197,1
788,801,89002,6
789,802,1835,2
790,803,7020,2
791,804,357,2
792,805,463,3
793,806,334,5
794,807,1571,2
795,808,56,4
796,809,990,5
797,810,5990,9
798,812,4,3
799,813,68444,2
800,814,4,1
801,815,198,2
802,816,59,1
803,818,3,2
804,819,649,8
805,820,53,1
806,821,359,5
807,822,151,2
808,823,702,1
809,824,6757,2
810,825,3,2
811,826,4,1
812,827,148,1
813,828,8,3
814,829,810,8
815,830,4,6
816,831,1471,1
817,832,1518,3
818,833,3313,2
819,834,3944,6
820,835,27,3
821,836,3623,3
822,837,7380,10
823,838,84847,9
824,839,286,2
825,840,56,9
826,841,1337,3
827,842,70,8
828,843,283,1
829,844,106,2
830,845,601,3
831,846,7286,1
832,847,156,8
833,848,3360,1
834,849,286,7
835,850,1572,3
836,851,1695,1
837,852,539,6
838,853,26564,3
839,854,3224,3
840,855,4,2
841,856,583,6
842,857,389,3
843,858,1221,1
844,859,37,3
845,860,141,2
846,861,876,8
847,862,6851,1
848,864,84,8
849,865,522,1
850,866,1783,1
851,867,5217,8
852,868,1516,8
853,869,3425,2
854,870,102,6
855,871,467,6
856,872,1305,3
857,873,4,3
858,874,8017,1
859,875,2260,2
860,876,861,2
861,877,430,2
862,878,4,3
863,879,1339,1
864,880,4414,4
865,881,56,10
866,882,614,5
867,884,147,3
868,885,317,5
869,886,145,2
870,887,4,3
871,888,48346,4
872,889,1916,1
873,890,6,3
874,891,2107,3
875,892,5380,6
876,893,946,1
877,894,3,1
878,895,2885,3
879,896,483,2
880,897,1873,9
881,898,905,2
882,899,6358,2
883,900,7053,1
884,901,7053,8
885,902,105,5
886,903,928,1
887,904,7116,3
888,905,898,8
889,906,1889,2
890,907,945,2
891,908,648,12
892,909,496,6
893,910,898,9
894,911,928,8
895,912,898,2
896,913,1284,3
897,914,6245,8
898,915,937,2
899,916,905,6
900,917,6170,5
901,918,8187,1
902,919,1031,3
903,920,1183,5
904,921,21,8
905,922,7215,2
906,923,903,1
907,924,52328,5
908,925,946,9
909,926,1193,3
910,927,830,8
911,928,903,1
912,929,2183,3
913,930,908,2
914,931,911,2
915,932,74,2
916,933,911,1
917,934,1453,8
918,935,5375,8
919,936,7,8
920,937,236,6
921,938,900,1
922,939,568,2
923,940,2006,12
924,941,31923,4
925,942,164,3
926,943,587,8
927,944,2097,3
928,945,907,6
929,946,26491,6
930,947,2935,6
931,948,110,2
932,949,191,2
933,950,4056,8
934,951,947,6
935,952,2147,14
936,953,351,6
937,954,100,1
938,955,898,6
939,956,52,5
940,957,1056,2
941,958,513,2
942,959,230,3
943,960,259,2
944,961,43,2
945,962,22,1
946,963,4284,1
947,964,3792,1
948,965,929,2
949,966,4826,3
950,967,210,2
951,968,6120,3
952,969,898,14
953,970,101,37
954,971,806,3
955,972,753,5
956,973,898,8
957,974,31588,5
958,975,107,2
959,976,2941,1
960,977,22,3
961,979,452,1
962,980,112,2
963,981,875,1
964,982,291,3
965,983,3,1
966,984,156,2
967,985,2776,1
968,986,577,4
969,987,5276,1
970,988,1042,8
971,989,191,3
972,990,227,4
973,991,5632,3
974,992,311,2
975,993,1735,1
976,994,232,6
977,996,3729,2
978,997,6757,1
979,998,390,2
980,999,731,3
981,1000,5593,1
982,1001,1,6
983,1002,447,6
984,1003,2058,3
985,1004,227,2
986,1005,2042,9
987,1006,2120,3
988,1007,274,9
989,1008,458,4
990,1009,258,5
991,1010,2050,9
992,1011,1064,6
993,1012,3674,3
994,1013,2059,9
995,1014,7312,10
996,1015,577,3
997,1016,2095,10
998,1017,2047,3
999,1018,1460,9
1000,1019,6305,3
1001,1020,151455,6
1002,1021,5103,10
1003,1022,595,6
1004,1023,783,3
1005,1024,1282,4
1006,1025,594,3
1007,1026,1907,6
1008,1027,6520,3
1009,1028,1073,6
1010,1029,364,6
1011,1030,1566,5
1012,1031,919,3
1013,1032,1881,3
1014,1033,1029,6
1015,1034,3266,2
1016,1035,2565,9
1017,1036,165,2
1018,1037,338,3
1019,1038,525,5
1020,1039,97757,4
1021,1040,51080,3
1022,1041,1879,3
1023,1042,4757,8
1024,1043,1053,1
1025,1044,851,1
1026,1045,2577,2
1027,1046,7260,5
1028,1047,51935,1
1029,1049,25962,4
1030,1050,8379,5
1031,1051,2481,1
1032,1052,4,3
1033,1053,347,1
1034,1054,358,2
1035,1055,45062,2
1036,1056,1735,2
1037,1057,5927,6
1038,1058,3816,2
1039,1059,3668,1
1040,1060,803,2
1041,1061,61,3
1042,1062,3495,2
1043,1063,406,3
1044,1064,631,9
1045,1065,22,3
1046,1066,6358,2
1047,1067,907,2
1048,1068,1248,1
1049,1069,1252,2
1050,1070,1153,4
1051,1071,1898,1
1052,1073,1028,9
1053,1075,4877,6
1054,1076,5105,3
1055,1077,1527,2
1056,1078,4407,2
1057,1079,5602,9
1058,1080,1079,2
1059,1081,141,8
1060,1082,100,2
1061,1083,7394,8
1062,1084,493,1
1063,1085,2045,3
1064,1086,2187,3
1065,1087,6144,1
1066,1088,539,1
1067,1089,3896,1
1068,1090,465,1
1069,1091,1405,8
1070,1092,44759,2
1071,1093,2348,1
1072,1094,1805,5
1073,1095,2435,1
1074,1096,64622,3
1075,1097,3471,6
1076,1098,194,6
1077,1099,8492,6
1078,1100,3214,5
1079,1101,8093,1
1080,1102,3104,1
1081,1103,1968,1
1082,1104,2132,2
1083,1105,3940,4
1084,1106,37,1
1085,1107,473,8
1086,1109,4,1
1087,1110,6,3
1088,1111,6598,1
1089,1112,1473,32
1090,1113,1107,6
1091,1114,1601,2
1092,1115,4,1
1093,1116,5272,2
1094,1117,106,2
1095,1118,81132,3
1096,1119,3534,2
1097,1120,1476,8
1098,1121,1318,3
1099,1122,37,1
1100,1123,8753,3
1101,1124,1946,3
1102,1125,6663,8
1103,1126,3784,6
1104,1127,780,5
1105,1128,2122,2
1106,1129,2916,5
1107,1130,5433,2
1108,1131,4383,2
1109,1132,2744,1
1110,1133,1622,6
1111,1134,177763,1
1112,1135,267,6
1113,1136,1197,14
1114,1137,1046,2
1115,1138,53,2
1116,1139,4,1
1117,1140,4,2
1118,1141,4,3
1119,1142,177225,2
1120,1143,308,6
1121,1144,759,4
1122,1145,787,3
1123,1146,4,2
1124,1147,2824,3
1125,1148,745,10
1126,1149,1211,1
1127,1150,302,2
1128,1151,4158,8
1129,1152,1069,1
1130,1153,3966,2
1131,1154,2727,1
1132,1155,4,2
1133,1156,5488,1
1134,1157,4,3
1135,1158,1,8
1136,1159,3,5
1137,1160,1,6
1138,1161,43376,2
1139,1162,5060,6
1140,1163,803,2
1141,1164,3503,3
1142,1165,20,1
1143,1166,1,8
1144,1167,2306,6
1145,1168,382,7
1146,1169,1827,2
1147,1170,667,1
1148,1171,157,8
1149,1172,2324,3
1150,1173,3127,8
1151,1174,2696,8
1152,1175,5673,2
1153,1176,58709,6
1154,1177,4,5
1155,1178,1217,3
1156,1179,3683,2
1157,1180,2359,6
1158,1181,1378,1
1159,1183,266,5
1160,1184,570,6
1161,1185,117176,1
1162,1186,537,3
1163,1187,103801,3
1164,1188,899,6
1165,1189,160020,1
1166,1190,1844,1
1167,1191,5868,5
1168,1192,581,3
1169,1193,926,1
1170,1194,1824,2
1171,1196,1210,5
1172,1197,1275,22
1173,1198,1291,5
1174,1199,172,5
1175,1200,1127,4
1176,1201,1209,4
1177,1202,5940,6
1178,1203,111,3
1179,1204,26155,3
1180,1206,111,2
1181,1207,898,1
1182,1208,2028,3
1183,1209,3681,1
1184,1210,1196,3
1185,1211,58709,8
1186,1212,928,1
1187,1213,431,2
1188,1214,1200,2
1189,1215,1261,16
1190,1216,2297,6
1191,1217,1178,3
1192,1218,8798,3
1193,1219,7116,1
1194,1220,1772,13
1195,1221,858,3
1196,1222,1178,3
1197,1223,745,6
1198,1224,33162,5
1199,1225,249,3
1200,1226,131,1
1201,1227,81,2
1202,1228,923,3
1203,1230,905,6
1204,1231,150,1
1205,1232,3503,3
1206,1233,1250,2
1207,1234,129354,9
1208,1235,3358,8
1209,1236,1904,8
1210,1237,25741,1
1211,1238,101,2
1212,1240,2985,1
1213,1241,1215,8
1214,1242,5899,2
1215,1243,81132,8
1216,1244,4392,2
1217,1245,3334,1
1218,1246,3296,2
1219,1247,123,6
1220,1248,32369,2
1221,1249,23,5
1222,1250,1233,3
1223,1251,1176,6
1224,1252,164,3
1225,1253,4625,3
1226,1254,1287,7
1227,1255,3696,2
1228,1256,7132,2
1229,1257,1895,6
1230,1258,1345,2
1231,1259,27,3
1232,1260,7926,2
1233,1261,1215,8
1234,1262,3654,5
1235,1263,1939,1
1236,1264,427,2
1237,1265,953,8
1238,1266,7072,1
1239,1267,4407,1
1240,1268,71550,8
1241,1269,5120,8
1242,1270,71106,14
1243,1271,218,10
1244,1272,760,2
1245,1273,308,6
1246,1274,4850,5
1247,1275,1197,5
1248,1276,235,3
1249,1277,42015,2
1250,1278,3088,6
1251,1279,583,8
1252,1280,2630,3
1253,1281,3003,2
1254,1282,594,4
1255,1283,8094,1
1256,1284,913,1
1257,1285,39,8
1258,1286,270,1
1259,1287,110,7
1260,1288,1202,2
1261,1289,5643,3
1262,1290,1895,1
1263,1291,1198,4
1264,1292,11,2
1265,1293,30812,1
1266,1295,659,3
1267,1296,17,5
1268,1297,1202,6
1269,1298,2877,1
1270,1299,920,3
1271,1300,86000,2
1272,1301,5764,2
1273,1302,201,6
1274,1303,53,3
1275,1304,553,1
1276,1305,123,5
1277,1306,29,3
1278,1307,357,8
1279,1308,1,8
1280,1309,4,2
1281,1310,6306,3
1282,1311,1359,6
1283,1312,698,2
1284,1313,1114,2
1285,1314,118,2
1286,1315,3333,2
1287,1316,4,1
1288,1317,4804,8
1289,1318,3361,6
1290,1319,37,2
1291,1320,8810,1
1292,1321,2793,2
1293,1322,1323,4
1294,1323,1328,1
1295,1324,1325,2
1296,1325,1322,2
1297,1326,2148,1
1298,1327,4833,3
1299,1328,1323,2
1300,1329,70,3
1301,1330,1105,3
1302,1331,1341,1
1303,1332,129372,2
1304,1333,7116,2
1305,1334,25798,1
1306,1335,5474,2
1307,1336,4669,2
1308,1337,2455,3
1309,1339,72165,5
1310,1340,2648,2
1311,1341,1323,1
1312,1342,5980,1
1313,1343,1344,1
1314,1344,6736,3
1315,1345,724,5
1316,1346,5153,6
1317,1347,366,2
1318,1348,2644,2
1319,1349,253,2
1320,1350,2841,1
1321,1351,44199,2
1322,1352,4898,2
1323,1353,539,8
1324,1354,6241,2
1325,1355,22,4
1326,1356,1374,4
1327,1357,249,2
1328,1358,2858,3
1329,1359,4502,10
1330,1360,696,3
1331,1361,27329,2
1332,1363,277,5
1333,1364,624,3
1334,1365,1277,1
1335,1366,52,5
1336,1367,3674,14
1337,1368,4,2
1338,1369,2742,2
1339,1370,733,7
1340,1371,1356,3
1341,1372,1373,2
1342,1373,1372,1
1343,1374,1356,4
1344,1375,329,4
1345,1376,329,14
1346,1377,592,2
1347,1378,3508,8
1348,1379,4084,2
1349,1380,91266,6
1350,1381,3,2
1351,1382,76130,2
1352,1383,292,1
1353,1384,205,1
1354,1385,786,2
1355,1386,163,2
1356,1387,183,2
1357,1388,1992,1
1358,1389,1388,2
1359,1390,11,8
1360,1391,1580,13
1361,1392,2289,6
1362,1393,33660,5
1363,1394,4027,2
1364,1395,4,2
1365,1396,135530,2
1366,1397,121,3
1367,1398,236,1
1368,1399,56274,1
1369,1400,4,1
1370,1401,2431,1
1371,1404,84392,3
1372,1405,2987,17
1373,1406,6021,1
1374,1407,1644,9
1375,1408,8481,2
1376,1409,93740,8
1377,1410,3774,2
1378,1411,26,5
1379,1412,5632,1
1380,1413,48032,3
1381,1414,566,2
1382,1415,6035,1
1383,1416,1951,3
1384,1417,412,5
1385,1419,1211,3
1386,1420,769,3
1387,1421,682,4
1388,1422,2803,2
1389,1423,73344,2
1390,1424,6,3
1391,1425,53956,8
1392,1426,1547,3
1393,1427,288,1
1394,1428,696,2
1395,1429,112,17
1396,1430,1245,9
1397,1431,5438,13
1398,1432,20,2
1399,1433,3665,1
1400,1434,1133,1
1401,1436,499,2
1402,1437,36,2
1403,1438,1515,3
1404,1439,5648,8
1405,1440,4100,8
1406,1441,566,2
1407,1442,2237,2
1408,1443,37,3
1409,1444,3495,2
1410,1445,8912,2
1411,1446,570,8
1412,1447,778,1
1413,1448,108,1
1414,1449,1288,2
1415,1450,5686,1
1416,1453,499,2
1417,1454,4082,6
1418,1455,287,8
1419,1456,65,6
1420,1457,539,8
1421,1458,73049,5
1422,1459,1422,3
1423,1460,1018,10
1424,1461,2372,2
1425,1462,37,2
1426,1463,6873,2
1427,1464,4848,8
1428,1465,94109,2
1429,1466,16,2
1430,1467,4,6
1431,1468,543,6
1432,1470,108,3
1433,1471,831,1
1434,1472,7216,2
1435,1473,438,13
1436,1474,274,6
1437,1475,5760,5
1438,1476,1120,8
1439,1477,236,5
1440,1479,164981,2
1441,1480,164,3
1442,1482,26838,6
1443,1483,4390,2
1444,1484,94,8
1445,1485,104,8
1446,1486,177651,5
1447,1487,549,3
1448,1488,71691,2
1449,1489,66915,3
1450,1490,1878,2
1451,1493,49,5
1452,1495,181,4
1453,1496,85438,5
1454,1497,112,2
1455,1498,5450,5
1456,1499,2429,5
1457,1500,4868,2
1458,1501,148,1
1459,1502,347,5
1460,1503,1526,8
1461,1504,4375,3
1462,1507,1898,2
1463,1508,6850,2
1464,1509,5461,3
1465,1510,4,3
1466,1511,106542,8
1467,1513,2806,2
1468,1514,1280,1
1469,1515,2535,1
1470,1516,868,6
1471,1517,2683,17
1472,1518,832,3
1473,1519,696,2
1474,1520,807,1
1475,1522,4,2
1476,1523,8520,1
1477,1524,4,3
1478,1525,26792,5
1479,1526,1503,8
1480,1527,5523,16
1481,1528,1,8
1482,1529,166,2
1483,1531,195,3
1484,1532,411,6
1485,1533,1156,1
1486,1534,4334,1
1487,1535,202,2
1488,1537,5693,2
1489,1538,362,4
1490,1539,75813,2
1491,1541,236,2
1492,1542,568,8
1493,1543,436,2
1494,1544,4638,3
1495,1545,5073,2
1496,1546,7948,8
1497,1547,44966,5
1498,1548,4,1
1499,1549,4157,5
1500,1550,2302,8
1501,1551,577,5
1502,1552,95,3
1503,1553,1,6
1504,1554,7109,2
1505,1555,1163,2
1506,1556,2793,2
1507,1557,4,2
1508,1558,1,8
